prompt,completion
latin dominican-merengue big room layered ->," None
None
0:k,2:h
None
3:s,4:k,6:s,8:k,10:s,14:t,15:t
13:l,16:t,20:s,23:s,29:t ###"
latin dominican-merengue nu rnb ->," None
None
0:k,2:h
None
3:s,4:k,6:s,8:k,10:s,14:t,15:t
13:z,16:t,20:s,23:s,29:t ###"
latin venezuelan-sangueo acoustic ->," None
None
None
1:k,3:k,7:s
0:l,0:k,1:s,12:z,12:k,14:h
0:s,2:k,4:s,4:h,4:k,5:k,6:k,7:k,7:h,8:k,10:k,14:l,17:s,18:l,20:s,20:l,21:s,22:l,22:h,24:l,24:k,25:s,26:h,26:s,28:h,30:k,31:h ###"
latin venezuelan-sangueo dark hybrid ->," None
0:a
None
1:k,3:k,7:s
0:k,1:s,12:z,14:a
0:s,4:s,4:a,5:k,7:k,7:a,17:s,20:s,21:s,22:a,24:k,25:s,26:s,28:a,31:a ###"
latin venezuelan-sangueo big room layered ->," None
None
None
1:k,3:k,7:s
0:l,0:k,1:s,4:s,12:z,12:k,14:h
0:s,2:k,4:h,4:k,5:k,6:k,7:k,7:h,8:k,10:k,14:l,17:s,18:l,20:l,21:s,22:l,22:h,24:l,24:k,25:s,26:h,26:s,28:h,30:k,31:h ###"
latin venezuelan-sangueo 808 simple ->," None
None
None
1:k,3:k,7:s
0:l,0:k,1:s,12:s,12:k,14:h
0:s,2:k,4:s,4:h,4:k,5:k,6:k,7:k,7:h,8:k,10:k,14:l,17:s,18:l,20:s,20:l,21:s,22:l,22:h,24:l,24:k,25:s,26:h,26:s,28:h,30:k,31:h ###"
latin venezuelan-sangueo deep daft ->," None
None
None
1:k,3:k,7:s
0:k,0:a,1:s,12:z,12:k,14:h
0:s,2:k,4:s,4:h,4:k,5:k,6:k,7:k,7:h,8:k,10:k,14:a,17:s,18:a,20:s,20:a,21:s,22:h,22:a,24:k,24:a,25:s,26:h,26:s,28:h,30:k,31:h ###"
neworleans funk acoustic ->," None
None
0:k
0:k,2:k
4:s,6:h,7:s,10:k,14:k
6:l,12:s,13:s,15:s,17:s,22:k,29:k ###"
neworleans funk dark hybrid ->," None
0:a
None
0:k
4:s,6:a,7:s,10:k
12:s,13:s,15:s,17:s,29:a ###"
neworleans funk deep daft ->," None
None
0:k
0:k,2:k
4:s,6:h,7:s,10:k,14:k
6:a,12:s,13:s,15:s,17:s,22:k,29:k ###"
soul acoustic ->," None
None
0:k
6:k
0:k,2:k,12:s,15:k
0:k,1:s,4:s,9:s,10:h,10:s,20:z,26:k,26:k ###"
soul dark hybrid ->," None
0:a
None
None
0:k,12:s,15:k
0:k,1:s,4:s,9:s,10:s,20:z,26:k ###"
soul 808 simple ->," None
None
0:k
6:k
0:k,2:k,4:s,12:s,15:k
0:k,1:s,9:s,10:h,10:s,26:k,26:k ###"
rock acoustic ->," None
None
0:k
None
0:k,1:s,7:s,10:k,12:s,12:h
0:k,1:k,2:s,4:s,6:k,8:h,10:h,11:k,14:h,15:k,16:s,18:h,20:s,22:l,22:k,25:s,26:s,26:k,29:s,30:k,31:s ###"
rock dark hybrid ->," None
None
0:a
6:a
0:k,1:s,7:s,10:k,10:a,12:s,12:a
0:k,1:k,2:s,4:s,8:a,11:k,15:k,16:s,18:a,20:s,22:k,25:s,26:s,29:s,31:s ###"
rock big room layered ->," None
None
0:k
4:s
0:k,1:s,7:s,10:k,12:h
0:k,1:k,2:s,6:k,8:h,10:h,11:k,14:h,15:k,16:s,18:h,22:l,22:k,25:s,26:s,26:k,29:s,30:k,31:s ###"
rock deep daft ->," None
None
0:k
None
0:k,1:s,7:s,10:k,12:s,12:h
0:k,1:k,2:s,4:s,6:k,8:h,10:h,11:k,14:h,15:k,16:s,18:h,20:s,22:k,22:a,25:s,26:s,26:k,29:s,30:k,31:s ###"
rock acoustic ->," None
None
None
0:k
10:k
0:k,2:k,3:l,4:l,6:l,7:h,11:s,12:s,13:h,14:k,14:k,15:k,17:k,18:h,19:k,20:k,22:s,23:k,27:k,28:h ###"
rock dark hybrid ->," None
None
None
0:a,2:a
3:a,4:a,7:a
0:k,6:a,11:s,12:s,13:a,14:k,14:a,15:a,17:k,22:s,27:a,28:a ###"
rock deep daft ->," None
None
None
0:k
10:k
0:k,2:k,3:a,4:a,6:a,7:h,11:s,12:s,13:h,14:k,14:k,15:k,17:k,18:h,19:k,20:k,22:s,23:k,27:k,28:h ###"
rock acoustic ->," None
None
None
None
0:k,0:k,1:k,3:k,7:k
0:k,1:k,6:k,8:s,10:k,11:k,12:k,13:k,15:h,19:k,20:k,21:k,24:k,27:s,30:l ###"
rock dark hybrid ->," None
None
None
None
0:k,0:a,1:a,3:a,7:a
0:k,1:k,6:a,8:s,10:a,11:a,12:a,13:a,15:a,19:k,20:a,21:a,24:a,27:s,30:a ###"
rock deep daft ->," None
None
None
None
0:k,0:k,1:k,3:k,7:k
0:k,1:k,6:k,8:s,10:k,11:k,12:k,13:k,15:h,19:k,20:k,21:k,24:k,27:s,30:a ###"
latin brazilian-samba acoustic ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:v,6:r,6:h,7:k,7:q,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba jinglestacks 2nd hi-hat ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:v,6:r,6:h,7:h,7:k,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba jazz funk ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:v,6:r,6:h,7:b,7:k,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba dark hybrid ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:s,2:r,2:a,3:k,3:r,4:k,4:r,5:v,6:r,6:a,7:k,7:q,8:k,8:r,9:s,10:r,10:a,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:a,15:k ###"
latin brazilian-samba big room layered ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:k,6:r,6:h,7:k,7:l,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba super boom layered ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:v,6:r,6:h,7:k,7:l,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba west coast funk ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:b,6:r,6:h,7:h,7:k,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:b,12:k,12:r,14:u,14:r,14:h,15:k ###"
latin brazilian-samba nu rnb ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:l,6:r,6:h,7:k,7:s,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:k,12:r,12:l,14:u,14:r,14:h,15:k ###"
latin brazilian-samba ele-drum ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:h,2:r,2:s,3:k,3:r,4:k,4:r,5:l,6:r,6:h,7:k,7:l,8:k,8:r,9:s,10:r,10:h,11:k,11:r,12:k,12:r,12:l,14:u,14:r,14:h,15:k ###"
latin brazilian-samba compact lite w/ tambourine hh ->," None
None
None
None
None
0:x,0:k,0:r,1:k,2:s,2:r,2:a,3:k,3:r,4:k,4:r,5:v,6:r,6:a,7:k,7:a,8:k,8:r,9:s,10:r,10:a,11:k,11:r,12:v,12:k,12:r,14:u,14:r,14:a,15:k ###"
latin brazilian-ijexa acoustic ->," None
None
None
0:k,0:h,2:k,2:r
0:r,4:h,4:r,5:r,7:r,9:r
12:h,12:r,14:r,18:k ###"
latin brazilian-ijexa dark hybrid ->," None
None
None
0:k,0:a,2:k,2:r
0:r,4:r,4:a,5:r,7:r,9:r
12:r,12:a,14:r,18:k ###"
latin brazilian acoustic ->," None
None
0:k
3:s,4:k
6:k,12:s,13:s,13:k,14:h,15:s,22:k,29:s
1:s,2:h,5:s,6:l,8:s,9:s,10:k,12:s,13:k,17:h,17:s,18:k,20:s,22:h,24:z,26:h,28:k,29:s,31:s ###"
latin brazilian dark hybrid ->," None
None
None
0:k,0:a,2:a
2:k,4:a,6:a,7:s,8:s,9:s,9:a,11:s,18:k,25:s
1:s,4:s,5:s,8:s,9:k,12:a,13:a,13:s,14:a,15:s,16:s,20:z,24:k,25:s,27:s ###"
latin brazilian big room layered ->," None
None
0:k
3:s,4:k
1:s,6:k,12:s,13:s,13:k,14:h,15:s,22:k,29:s
2:h,5:s,6:l,8:s,9:s,10:k,12:s,13:k,17:h,18:k,20:s,22:h,24:z,26:h,28:k,29:s,31:s ###"
latin brazilian 808 simple ->," None
None
0:k
3:s,4:k
6:k,8:s,12:s,13:s,13:k,14:h,15:s,22:k,29:s
1:s,2:h,5:s,6:l,9:s,10:k,12:s,13:k,17:h,17:s,18:k,20:s,22:h,26:h,28:k,29:s,31:s ###"
latin brazilian deep daft ->," None
None
0:k
3:s,4:k
6:k,12:s,13:s,13:k,14:h,15:s,22:k,29:s
1:s,2:h,5:s,6:a,8:s,9:s,10:k,12:s,13:k,17:h,17:s,18:k,20:s,22:h,24:z,26:h,28:k,29:s,31:s ###"
latin brazilian-ijexa acoustic ->," None
None
0:k
2:h,4:k,5:s
1:k,6:k,6:s,6:k,8:s,9:s,11:s,12:s,13:s,13:k,14:h,15:s
3:z,5:k,9:k,13:k,14:s,16:s,19:s,22:h,23:k,25:l ###"
latin brazilian-ijexa dark hybrid ->," None
None
None
0:k,0:a,1:s,2:a
2:k,2:s,4:s,4:a,5:s,5:a,6:a,7:s,8:s,9:a,9:s,11:s
1:k,9:k,10:s,12:a,12:s,13:a,14:a,15:s,18:a,19:k ###"
latin brazilian-ijexa 808 simple ->," None
None
0:k
2:h,4:k,5:s
1:k,6:k,6:s,6:k,8:s,9:s,11:s,12:s,13:s,13:k,14:h,15:s
3:s,5:k,9:k,13:k,14:s,16:s,19:s,22:h,23:k,25:l ###"
latin brazilian-ijexa deep daft ->," None
None
0:k
2:h,4:k,5:s
1:k,6:k,6:s,6:k,8:s,9:s,11:s,12:s,13:s,13:k,14:h,15:s
3:z,5:k,9:k,13:k,14:s,16:s,19:s,22:h,23:k,25:a ###"
latin brazilian-ijexa acoustic ->," None
None
1:s
3:s,4:k,4:k
0:k,4:k,5:s,5:k,6:h,7:s,10:h,14:k,30:k
0:z,1:k,2:h,8:k,9:s,9:k,14:h,14:s,16:s,17:j,18:h,24:h,26:h,29:s,30:k,30:k ###"
latin brazilian-ijexa dark hybrid ->," None
None
None
0:k,0:a,1:s,2:a
0:k,1:a,1:s,3:s,4:a,5:s,6:a,7:s,10:k,26:k
5:s,5:a,10:s,12:s,12:a,13:a,13:s,14:a,15:s,22:a,25:s,26:k ###"
latin brazilian-ijexa 808 simple ->," None
None
1:s
3:s,4:k,4:k
0:s,0:k,4:k,5:s,5:k,6:h,7:s,10:h,14:k,30:k
1:k,2:h,8:k,9:s,9:k,14:h,14:s,17:j,18:h,24:h,26:h,29:s,30:k,30:k ###"
latin brazilian-ijexa deep daft ->," None
None
1:s
3:s,4:k,4:k
0:k,4:k,5:s,5:k,6:h,7:s,10:h,14:k,30:k
0:z,1:k,2:h,8:k,9:s,9:k,14:h,14:s,16:s,17:a,18:h,24:h,26:h,29:s,30:k,30:k ###"
latin brazilian-songo acoustic ->," None
None
0:s
3:k,3:s,5:s,6:s
1:s,9:s,12:z,15:s
0:k,0:z,1:s,2:h,4:z,6:h,6:z,7:z,13:s,20:y,20:h,22:s,23:s,25:z,26:s,27:s,28:h,30:s,31:z ###"
latin brazilian-songo dark hybrid ->," None
None
0:s
3:k,3:s,5:s,6:s
1:s,9:s,12:z,15:s
0:k,0:z,1:s,2:a,4:z,6:z,6:a,7:z,13:s,20:y,20:a,22:s,23:s,25:z,26:s,27:s,28:a,30:s,31:z ###"
latin brazilian-songo big room layered ->," None
None
0:s,1:s
3:k,3:s,6:s
12:z,15:s
0:k,0:z,1:s,2:h,4:z,6:h,6:z,7:z,13:s,20:y,20:h,22:s,23:s,25:z,26:s,27:s,28:h,30:s,31:z ###"
latin brazilian-songo 808 simple ->," None
None
0:s
3:k,3:s,5:s,6:s,7:s
1:s,9:s,12:s
0:s,0:k,1:s,2:h,4:s,6:s,6:h,13:s,20:y,20:h,22:s,25:s,26:s,27:s,28:h,30:s,31:s ###"
latin brazilian-songo acoustic ->," None
None
None
2:s
0:k,1:s,3:s,4:s,5:s,6:s,7:s,8:s,12:s
0:k,8:s,9:s,11:s,12:z,12:s,15:s,16:s,18:h,19:k,22:h,25:s,25:z,27:k,27:s,28:h,29:s,30:k,30:s,31:s ###"
latin brazilian-songo dark hybrid ->," None
None
None
2:s
0:k,1:s,3:s,4:s,5:s,6:s,7:s,8:s,12:s
0:a,8:s,9:s,11:s,12:z,12:s,15:s,16:s,18:a,19:k,22:a,25:s,25:z,27:k,27:s,28:a,29:s,30:k,30:s,31:s ###"
latin brazilian-songo big room layered ->," None
None
3:s
1:s,2:s,4:s
0:k,5:s,6:s,8:s
0:k,8:s,12:z,12:s,16:s,18:h,19:k,22:h,25:z,27:k,28:h,29:s,30:k,30:s ###"
latin brazilian-songo 808 simple ->," None
None
None
2:s
0:k,1:s,3:s,4:s,5:s,6:s,7:s,8:s,12:s
0:k,8:s,9:s,11:s,12:s,12:s,15:s,16:s,18:h,19:k,22:h,25:s,27:k,27:s,28:h,29:s,30:k,30:s,31:s ###"
latin brazilian acoustic ->," None
None
None
None
None
0:h,0:k,1:s,1:k,1:s,1:y,2:s,3:s,4:l,4:k,5:k,6:k,6:k,8:s,8:r,8:s,10:r,10:h,11:s,12:r,12:h,12:k,13:k,13:s,14:r ###"
latin brazilian dark hybrid ->," None
None
None
None
None
0:k,0:a,1:s,1:k,1:s,1:y,2:s,3:s,4:k,4:a,5:k,6:k,6:a,8:s,8:r,8:s,10:r,10:a,11:s,12:r,12:k,12:a,13:k,13:s,14:r ###"
latin brazilian big room layered ->," None
None
None
None
None
0:h,0:k,1:k,1:s,1:y,2:s,3:s,4:l,4:k,5:k,6:k,6:k,8:r,8:s,10:r,10:h,11:s,12:r,12:h,12:k,13:k,13:s,14:r ###"
latin brazilian deep daft ->," None
None
None
None
None
0:h,0:k,1:s,1:k,1:s,1:y,2:s,3:s,4:k,4:a,5:k,6:k,6:k,8:s,8:r,8:s,10:r,10:h,11:s,12:r,12:h,12:k,13:k,13:s,14:r ###"
reggae acoustic ->," None
None
0:k
2:k
6:k,8:k,12:k
0:l,0:h,4:h,8:z,14:l,14:z,16:k,18:s,20:s,20:k,21:s,30:k,31:z ###"
reggae dark hybrid ->," None
0:a
0:k
None
None
0:a,8:z,14:z,18:s,20:s,21:s,31:z ###"
reggae 808 simple ->," None
None
0:k
2:k
6:k,8:k,12:k
0:l,0:h,4:h,8:s,14:s,14:l,16:k,18:s,20:s,20:k,21:s,30:k,31:s ###"
reggae deep daft ->," None
None
0:k
2:k
6:k,8:k,12:k
0:h,0:a,4:h,8:z,14:z,14:a,16:k,18:s,20:s,20:k,21:s,30:k,31:z ###"
neworleans secondline acoustic ->," None
None
None
5:s
0:k,1:s,2:h,4:s,5:s,7:s,8:s,14:h,14:s,17:s
0:s,2:s,3:z,5:z,5:s,6:z,6:s,9:z,10:z,11:s,12:z,15:z,16:k,16:z,18:z,19:s,20:k,22:s,22:h,24:k,25:s,26:h,26:s,27:z,28:s,28:k,31:s ###"
neworleans secondline dark hybrid ->," None
None
None
5:s
0:k,1:s,2:a,4:s,5:s,7:s,8:s,14:s,14:a,17:s
0:s,2:s,3:z,5:z,5:s,6:z,6:s,9:z,10:z,11:s,12:z,15:z,16:k,16:z,18:z,19:s,20:k,22:s,22:a,24:k,25:s,26:s,26:a,27:z,28:s,28:k,31:s ###"
neworleans secondline big room layered ->," None
None
None
5:s,6:s
0:k,1:s,2:h,4:s,5:s,7:s,8:s,14:h,17:s
0:s,2:s,3:z,5:z,5:s,6:z,9:z,10:z,11:s,12:z,15:z,16:k,16:z,18:z,19:s,20:k,22:h,24:k,25:s,26:h,26:s,27:z,28:k,28:s,31:s ###"
neworleans secondline 808 simple ->," None
None
None
5:s
0:k,1:s,2:h,3:s,4:s,5:s,6:s,7:s,8:s,9:s,12:s,14:h,14:s,15:s,17:s
0:s,2:s,5:s,5:s,6:s,10:s,11:s,16:s,16:k,18:s,20:k,22:h,24:k,26:h,26:s,27:s,28:k ###"
neworleans secondline acoustic ->," None
None
0:h
1:s
0:k,6:s,8:s,9:s,10:k,12:z,12:s,13:s,14:s,15:s,28:s,29:s,30:s,31:s
0:z,0:s,6:s,7:s,9:s,13:s,14:s,16:s,17:s,18:s,20:s,22:z,24:s,26:k,26:s,28:s,30:s,31:s ###"
neworleans secondline dark hybrid ->," None
None
0:a
1:s
0:k,6:s,8:s,9:s,10:k,12:z,12:s,13:s,14:s,15:s,28:s,29:s,30:s,31:s
0:z,0:s,6:s,7:s,9:s,13:s,14:s,16:s,17:s,18:s,20:s,22:z,24:s,26:k,26:s,28:s,30:s,31:s ###"
neworleans secondline big room layered ->," None
None
0:h
0:s,1:s,6:s
0:k,9:s,10:k,12:z,12:s,13:s,14:s,15:s,28:s,29:s,30:s,31:s
0:z,6:s,7:s,9:s,13:s,17:s,18:s,20:s,22:z,24:s,26:k,26:s,28:s,31:s ###"
neworleans secondline 808 simple ->," None
None
0:h
1:s
0:s,0:k,6:s,8:s,9:s,10:k,12:s,12:s,13:s,14:s,15:s,28:s,29:s,30:s,31:s
0:s,6:s,7:s,9:s,13:s,14:s,17:s,18:s,20:s,22:s,24:s,26:k,26:s,28:s,30:s,31:s ###"
neworleans chacha acoustic ->," None
None
None
None
None
0:s,0:k,0:s,4:z,4:k,6:h,8:z,8:k,10:h,12:s,12:k,13:s,14:k,14:j ###"
neworleans chacha dark hybrid ->," None
None
None
None
None
0:s,0:k,0:s,4:z,4:a,6:a,8:z,8:a,10:a,12:a,12:s,13:s,14:k,14:a ###"
neworleans chacha big room layered ->," None
None
None
None
None
0:k,0:s,4:z,4:k,6:h,8:z,8:k,10:h,12:s,12:k,13:s,14:k,14:j ###"
neworleans chacha 808 simple ->," None
None
None
None
None
0:s,0:k,0:s,4:s,4:k,6:h,8:s,8:k,10:h,12:s,12:k,13:s,14:k,14:j ###"
neworleans chacha deep daft ->," None
None
None
None
None
0:s,0:k,0:s,4:z,4:k,6:h,8:z,8:k,10:h,12:s,12:k,13:s,14:k,14:a ###"
neworleans shuffle acoustic ->," None
1:s
0:s,2:h
0:k,3:k,6:k,6:s
13:s
1:k,2:s,6:s,9:k,10:s,16:k,17:s,18:z,21:s,24:k,25:s,26:s,31:k ###"
neworleans shuffle dark hybrid ->," None
1:s
0:s,2:a
0:k,3:k,6:k,6:s
13:s
1:k,2:s,6:s,9:k,10:s,16:k,17:s,18:z,21:s,24:k,25:s,26:s,31:k ###"
neworleans shuffle big room layered ->," None
1:s
0:s,2:h
0:k,3:k,6:k,6:s
10:s,13:s
1:k,2:s,6:s,9:k,10:s,16:k,17:s,18:z,21:s,24:k,25:s,31:k ###"
neworleans shuffle 808 simple ->," None
1:s
0:s,2:h
0:k,3:k,6:k,6:s
13:s
1:k,2:s,6:s,9:k,10:s,16:k,17:s,18:s,21:s,24:k,25:s,26:s,31:k ###"
rock acoustic ->," None
None
None
None
None
0:k,0:k,2:k,3:s,4:h,4:s,5:s,6:h,6:k,7:z,8:h,8:k,9:s,10:k,10:k,11:s,12:h,12:s,13:s,14:k,14:s,14:k,15:s ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:a,2:a,3:s,4:s,4:a,5:s,6:a,7:z,8:k,8:a,9:s,10:k,10:a,11:s,12:s,12:a,13:s,14:a,14:k,14:s,15:s ###"
rock 808 simple ->," None
None
None
None
None
0:k,0:k,2:k,3:s,4:h,4:s,5:s,6:h,6:k,7:s,8:h,8:k,9:s,10:k,10:k,11:s,12:h,12:s,13:s,14:k,14:s,14:k,15:s ###"
rock acoustic ->," None
None
None
None
0:s,1:r
0:k,3:r,3:k,5:r,5:h,5:z,6:r,7:r,9:r,9:h,9:s,10:r,11:r,12:z,13:r,15:r,15:h ###"
rock dark hybrid ->," None
None
None
None
0:s,1:r
0:k,3:r,3:k,5:r,5:z,5:a,6:r,7:r,9:a,9:r,9:s,10:r,11:r,12:z,13:r,15:r,15:a ###"
rock 808 simple ->," None
None
None
None
0:s,1:r
0:k,3:r,3:k,5:s,5:r,5:h,6:r,7:r,9:r,9:h,9:s,10:r,11:r,12:s,13:r,15:r,15:h ###"
rock acoustic ->," None
None
None
None
1:s,17:s
0:k,0:s,2:l,2:k,3:s,4:k,6:s,6:k,8:l,9:s,10:l,10:h,12:k,14:s,14:k,15:s,16:l,16:j,17:s ###"
rock dark hybrid ->," None
None
None
None
1:s,17:s
0:k,0:s,2:k,2:a,3:s,4:k,6:s,6:a,8:a,9:s,10:a,12:a,14:s,14:a,15:s,16:a,17:s ###"
rock deep daft ->," None
None
None
None
1:s,17:s
0:k,0:s,2:k,2:a,3:s,4:k,6:s,6:k,8:a,9:s,10:h,10:a,12:k,14:s,14:k,15:s,16:a,17:s ###"
rock acoustic ->," None
None
None
2:s
0:k,6:k,8:l,9:l
0:h,1:h,3:j,4:l,5:j,6:h,6:j,7:k,11:l,12:l,13:l,14:h,14:k,14:k,15:k,17:k,19:k,20:k,21:h,21:k,22:l,23:j,26:h,27:k,28:k,29:h ###"
rock dark hybrid ->," None
None
None
None
0:k,0:a,1:a,2:a,3:a,4:s,5:a,6:a,7:a
0:a,8:k,8:a,9:a,10:a,11:a,12:s,13:a,14:a,15:a,20:a ###"
rock deep daft ->," None
None
None
2:s
0:k,6:k,6:a,8:a,9:a
0:h,1:h,3:a,4:a,5:a,6:h,7:k,11:a,12:a,13:a,14:h,14:k,14:k,15:k,17:k,19:k,20:k,21:h,21:k,23:a,26:h,27:k,28:k,29:h ###"
rock acoustic ->," None
None
None
None
None
0:k,0:s,2:r,2:k,2:y,6:s,6:u,6:h,8:u,9:t,10:u,10:k,11:t,12:u,13:k,14:s,14:s,16:u,17:t ###"
rock dark hybrid ->," None
None
None
None
None
0:k,0:s,2:r,2:k,2:y,6:s,6:u,6:a,8:u,9:t,10:u,10:k,11:t,12:u,13:k,14:s,14:s,16:u,17:t ###"
rock big room layered ->," None
None
None
None
None
0:k,0:s,2:r,2:k,2:y,6:u,6:h,6:s,8:u,9:t,10:u,10:k,11:t,12:u,13:k,14:s,16:u,17:t ###"
rock acoustic ->," None
None
None
None
0:s
0:k,0:y,2:j,2:s,4:k,5:s,5:k,6:s,7:l,7:s,8:s,9:l,9:k,9:s,10:k,10:s,12:s,12:l,15:l,15:s,16:l,16:s ###"
rock dark hybrid ->," None
None
None
None
0:s
0:k,0:y,2:a,2:s,4:k,5:s,5:a,6:s,7:s,7:a,8:s,9:s,9:k,9:a,10:k,10:s,12:s,12:a,15:s,15:a,16:a,16:s ###"
rock big room layered ->," None
None
None
None
0:s
0:k,0:y,2:j,2:s,4:k,5:s,5:k,6:s,7:l,7:s,8:s,9:l,9:k,9:s,10:k,10:s,12:l,12:s,15:l,15:s,16:l,16:s ###"
rock deep daft ->," None
None
None
None
0:s
0:k,0:y,2:a,2:s,4:k,5:s,5:k,6:s,7:s,7:a,8:s,9:s,9:k,9:a,10:k,10:s,12:s,12:a,15:s,15:a,16:a,16:s ###"
rock acoustic ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:q,9:q,15:t
1:w,17:t ###"
rock jinglestacks 2nd hi-hat ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:h,9:h,15:t
1:w,17:t ###"
rock jazz funk ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:b,9:b,15:t
1:w,17:t ###"
rock big room layered ->," None
None
2:u
0:k,3:k,4:s,12:s
0:u,7:l,9:l,15:t
1:l,17:t ###"
rock super boom layered ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:l,9:l,15:t
1:w,17:t ###"
rock nu rnb ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:s,9:s,15:t
1:z,17:t ###"
rock ele-drum ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:l,9:l,15:t
1:z,17:t ###"
rock compact lite w/ tambourine hh ->," None
None
2:u
0:k,3:k,4:s,4:s
0:u,7:a,9:a,15:t
1:w,17:t ###"
rock acoustic ->," None
None
None
None
0:r,0:k,2:k,4:r,4:s,6:r,6:k
2:r,8:r,10:r,10:k,12:r,12:s ###"
rock acoustic ->," None
0:u
None
2:k
0:k,4:s,6:k
12:s,16:h,20:h,24:h,26:t,28:h,28:x,30:k,30:x ###"
rock dark hybrid ->," None
0:u
None
2:k
0:k,4:s,6:k
12:s,16:a,20:a,24:a,26:t,28:x,28:a,30:k,30:x ###"
rock acoustic ->," None
None
None
4:s,4:k
0:k,8:k,10:h,10:k
6:s,16:k,30:l ###"
rock dark hybrid ->," None
None
None
4:s,4:a
0:k,8:a,10:k,10:a
6:s,16:a,30:a ###"
rock deep daft ->," None
None
None
4:s,4:k
0:k,8:k,10:h,10:k
6:s,16:k,30:a ###"
jazz acoustic ->," None
None
None
4:r,4:h
4:s,8:r,15:r
12:t,15:t,16:r,28:u,31:u ###"
jazz dark hybrid ->," None
None
None
4:r,4:a
4:s,8:r,15:r
12:t,15:t,16:r,28:u,31:u ###"
hiphop acoustic ->," None
None
None
None
None
0:h,0:k,1:k,2:k,3:h,4:k,5:k,6:k,7:t,8:h,9:w,10:k,12:s,14:s,15:s,16:s,17:w,17:s,18:s,19:s,20:t,21:x,22:s,23:u,24:u ###"
hiphop dark hybrid ->," None
None
None
None
None
0:a,4:a,7:a,8:a,9:a,10:a,11:a,12:a,13:a,14:t,15:a,16:w,17:a,19:s,21:s,22:s,23:s,24:w,24:s,25:s,26:s,27:t,28:x,29:s,30:u,31:u ###"
hiphop big room layered ->," None
None
None
None
None
0:h,0:k,1:k,2:k,3:h,4:k,5:k,6:k,7:t,8:h,9:l,10:k,12:s,14:s,15:s,16:s,17:s,17:l,18:s,19:s,20:t,21:x,22:s,23:u,24:u ###"
hiphop nu rnb ->," None
None
None
None
None
0:h,0:k,1:k,2:k,3:h,4:k,5:k,6:k,7:t,8:h,9:z,10:k,12:s,14:s,15:s,16:s,17:z,17:s,18:s,19:s,20:t,21:x,22:s,23:u,24:u ###"
hiphop acoustic ->," None
None
0:k
6:h
2:k,3:h,5:h,6:k,7:h,8:k,10:h,11:k,12:s,13:s,15:k
1:k,2:k,9:h,9:k,17:h,18:h,25:k,31:k ###"
hiphop dark hybrid ->," None
None
0:a
2:a,5:a
0:k,1:a,3:a,4:k,6:k,6:a,7:a,9:k,10:s,11:s
7:k,14:a,15:a,29:k ###"
hiphop acoustic ->," None
None
None
3:h,4:k,6:h
1:h,2:k,8:k,8:k,9:k,10:k,11:k,12:s,13:s,15:k
0:k,0:y,2:k,5:h,6:k,7:h,12:k,16:k,18:h,21:k,21:k,23:k ###"
hiphop dark hybrid ->," None
None
2:a,3:a
1:a,4:a
2:k,5:a,8:k,8:a,11:k,12:s,13:s
0:k,0:y,6:k,12:k,16:a,21:k ###"
